complain_id,complain_date,customer_id,appliance_id,engineer_id,labour_hours,travel_hours
1,2018-12-03,412,58,35,11,8
2,2019-11-18,258,108,5,18,13
3,2019-12-09,936,27,18,19,16
4,2018-12-16,826,14,9,11,5
5,2018-07-04,512,3,29,12,13
6,2019-03-24,571,71,9,1,19
7,2019-03-31,606,101,17,19,9
8,2018-09-08,574,22,7,6,15
9,2018-07-04,473,119,43,4,20
10,2019-01-09,10,122,45,20,2
11,2018-07-08,798,15,38,18,20
12,2019-10-25,193,90,7,3,2
13,2018-01-08,290,79,14,20,3
14,2018-05-06,971,126,17,2,11
15,2018-09-01,155,145,7,17,5
16,2018-11-30,848,4,50,19,19
17,2019-01-17,897,60,9,17,2
18,2019-05-18,739,15,23,9,5
19,2018-05-31,175,109,27,19,17
20,2019-03-04,308,92,22,19,9
21,2018-05-14,494,17,18,6,13
22,2019-11-19,228,11,20,16,9
23,2018-06-14,503,140,39,2,5
24,2019-01-11,680,127,30,6,10
25,2019-11-16,393,91,11,14,8
26,2019-07-20,148,101,26,10,19
27,2018-06-18,246,14,24,18,20
28,2019-01-07,335,102,45,12,20
29,2019-04-05,296,123,50,14,17
30,2018-06-09,277,61,21,14,1
31,2019-12-14,767,71,14,19,11
32,2018-06-05,750,68,31,17,1
33,2018-11-11,36,44,35,19,19
34,2018-07-07,271,32,18,17,18
35,2019-07-23,219,110,35,10,2
36,2018-12-21,637,84,50,18,19
37,2019-09-04,137,30,35,10,12
38,2018-02-20,507,33,50,20,17
39,2018-07-10,550,39,2,16,1
40,2019-06-09,3,24,48,3,2
41,2019-10-31,450,54,18,18,20
42,2019-12-14,448,45,5,7,13
43,2019-02-18,613,129,26,10,8
44,2018-08-05,696,19,40,15,14
45,2019-12-31,451,102,16,12,13
46,2019-05-07,509,135,36,11,5
47,2018-06-15,31,116,44,12,8
48,2019-12-18,388,112,38,11,11
49,2019-03-09,941,15,42,19,2
50,2019-03-15,772,65,21,12,17
51,2019-11-28,420,31,30,4,2
52,2018-11-24,651,100,28,11,17
53,2018-07-24,199,102,19,10,20
54,2018-07-14,226,123,35,12,6
55,2018-06-18,472,95,24,8,7
56,2018-08-17,178,137,25,8,12
57,2019-04-30,314,125,7,12,9
58,2019-12-15,18,137,7,18,1
59,2018-06-02,248,82,39,4,11
60,2019-07-25,193,109,11,18,16
61,2019-10-03,478,28,41,19,11
62,2019-08-16,931,57,33,2,18
63,2019-09-25,533,20,8,16,7
64,2018-07-09,880,28,40,18,6
65,2018-07-27,812,138,49,8,20
66,2018-09-25,281,114,15,2,5
67,2019-10-16,945,145,18,20,3
68,2019-12-20,203,1,28,10,15
